obesity_class,Methanobrevibacter,Methanosphaera,Acidobacteriaceae_unclassified,Actinomyces,Varibaculum,Rothia,Bifidobacterium,Gardnerella,Adlercreutzia,Atopobium,Collinsella,Coriobacteriaceae_noname,Eggerthella,Gordonibacter,Olsenella,Slackia,Bacteroides,Bacteroidales_noname,Barnesiella,Coprobacter,Odoribacter,Parabacteroides,Porphyromonas,Alloprevotella,Paraprevotella,Prevotella,Alistipes,Granulicatella,Enterococcus,Lactobacillus,Leuconostoc,Weissella,Lactococcus,Streptococcus,Clostridium,Anaerococcus,Parvimonas,Peptoniphilus,Clostridiales_noname,Flavonifractor,Pseudoflavonifractor,Eubacterium,Anaerostipes,Blautia,Butyrivibrio,Coprococcus,Dorea,Lachnospiraceae_noname,Roseburia,Oscillibacter,Peptostreptococcaceae_noname,Peptostreptococcus,Anaerotruncus,Faecalibacterium,Ruminococcaceae_noname,Ruminococcus,Subdoligranulum,Catenibacterium,Coprobacillus,Erysipelotrichaceae_noname,Holdemania,Solobacterium,Turicibacter,Acidaminococcaceae_unclassified,Acidaminococcus,Phascolarctobacterium,Dialister,Megasphaera,Mitsuokella,Veillonella,Fusobacterium,Leptotrichiaceae_unclassified,Burkholderiales_noname,Oxalobacter,Parasutterella,Sutterella,Sutterellaceae_unclassified,Neisseria,Bilophila,Desulfovibrio,Campylobacter,Helicobacter,Citrobacter,Enterobacter,Escherichia,Klebsiella,Providencia,Aggregatibacter,Haemophilus,Brachyspira,Treponema,Akkermansia,Entamoeba,Archaeoglobaceae_unclassified,Methanocaldococcaceae_unclassified,Granulicella,Tropheryma,Brevibacterium,Corynebacterium,Dermatophilaceae_unclassified,Propionibacteriaceae_unclassified,Propionibacterium,Alloscardovia,Parascardovia,Scardovia,Enterorhabdus,Desulfurobacteriaceae_unclassified,Marinilabiliaceae_unclassified,Butyricimonas,Dysgonomonas,Capnocytophaga,Cellulophaga,Riemerella,Pedobacter,Sphingobacterium,Candidatus_Saccharibacteria_noname,Candidatus_Saccharibacteria_noname_unclassified,Chlamydophila,Chlorobium,Mucispirillum,Deinococcus,Thermus,Alicyclobacillus,Gemella,Staphylococcus,Abiotrophia,Pediococcus,Butyricicoccus,Clostridiaceae_noname,Clostridiales_Family_XIII_Incertae_Sedis_unclassified,Clostridiales_Family_XI_Incertae_Sedis_noname,Finegoldia,Anaerofustis,Lachnoanaerobaculum,Marvinbryantia,Oribacterium,Stomatobaculum,Halobacteroidaceae_unclassified,Allobaculum,Bulleidia,Eggerthia,Anaeroglobus,Megamonas,Selenomonas,Asticcacaulis,Caulobacter,Bartonella,Bordetella,Burkholderia,Cupriavidus,Lautropia,Comamonas,Candidatus_Zinderia,Gallionellaceae_unclassified,Chromobacterium,Arcobacter,Succinatimonas,Pseudoalteromonadaceae_unclassified,Spiribacter,Enterobacteriaceae_noname,Hafnia,Pantoea,Proteus,Raoultella,Shigella,Yersinia,Hahellaceae_unclassified,Halomonas,Actinobacillus,Pasteurella,Acinetobacter,Pseudomonas,Sinobacteraceae_unclassified,Sphaerochaeta,Pyramidobacter,Synergistes,Candidatus_Phytoplasma,Spiroplasma,Aspergillaceae_unclassified,Penicillium,Naumovozyma,Saccharomyces,Saccharomycetaceae_unclassified,Schizosaccharomyces,Giardia
1,0,0,0,0.05426,0,0.04105,0.54305,0,0.05124,0.00248,0.37639,0,0.10891,0,0.00625,0,19.73363,0,0,0.06958,1.19345,2.49974,0,0,0,0.00906,4.13789,0.03104,0,2.12719,0,5.79131,0,7.25761,0.08753,0,0,0,0,0.05184,0.02012,5.23556,0.00773,1.13858,0.01587,3.52511,0.89055,1.15599,2.18274,1.38998,0.0269,0,0.33295,10.20875,0.00263,6.02281,16.72932,0,0,0.01615,0.00707,0,0,0,0,0,4.54824,0.01909,0.02745,0.60882,0,0,0.00755,0,0.06359,0,0.04833,0,0.78803,0,0,0,0,0.08497,0.13236,0,0,0,0.11554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163,0,0,0,0,0,0,0,0,0,0,0,0.02036,0,0,0.00893,0,0,0.4293,0,0,0,0,0,0,0,0,0.00064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00879,0.00405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.03239,0,0,0,0.15818,0,0.00044,0,0.00619,0,4.99132,0.06113,0.88052,0.07716,0.65571,0.93759,0,0.02833,4.71009,37.23359,7.25844,0,0,0.09227,0,0,0,0.02863,0.19839,0,0,0,0.00025,0,0.0035,1.49355,0.07565,0.83325,10.92296,0.67994,0.82103,0.84591,1.52133,0.21177,0,0,0.11369,5.81497,0.00613,3.46716,8.51831,0.25466,0,0.34701,0.0112,0,0,0,0,5.74321,0,0,0.06278,0.00897,0,0,0,0,0,0.00011,0.27885,0,0.12485,0.40882,0,0,0,0,0.00637,0,0,0,0.00595,0,0,0.01181,0,0,0,0.00225,0,0,0,0,0,0,0,0,0,0,0,0,0.00564,0,0,0,0,0,0,0,0,0,0,0,0.03431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0,0.00674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.00849,0,0,0,0,0.00158,1.38628,0,0,0,0.02885,0.0267,0,0,0.03185,0,17.57871,0.44807,3.22474,0.05893,1.61677,6.07782,0,0,0,0,9.65446,0,0,0,0,0,0,0.26179,0.03657,0,0,0,0,0.02275,0.10486,3.73319,0.12216,1.73218,0.20019,0.91442,1.14151,0.80251,6.65848,1.05531,0,0,0.29058,13.3515,0.04791,2.45109,14.2745,0.31011,0,0.99551,0.02395,0,0,0.04623,0,0,0,0,0.15974,0.01619,0,0,0,0.03015,0.00174,0,0.1809,0,1.06141,0.08731,0,0,0,0,0.02934,0,0,0,0.00063,0,0,5.60148,0,0,0.01828,0,0,0,0,0.01831,0,0,0,0,0,0,0,0,0.00609,0,0,0.02555,0,0,0,0,0,0,0,0,0.04231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.4308,0,0,0,0,0.00283,3.80498,0,0.03053,0,0.39822,0,0.01143,0,0.00497,0,21.93974,0,2.86031,0,1.83002,3.14983,0.01433,0,0,2.37181,9.55482,0,0,0.00121,0,0,0.00344,0.01552,0.11362,0,0,0,0,0.00174,0.02308,2.63982,0.01454,1.03455,0.09078,0.69291,1.34262,0.2623,0.85671,0.57669,0.08984,0,1.90213,5.32335,0.03378,7.57537,18.19455,0.67981,0.00224,0.19569,0.15284,0.00057,0.00046,0.02496,0,0,0.00404,1.68093,2.19887,0.04827,0,0,0.00239,0.05739,0.01421,0.63172,0.18313,0,0.1473,0.39906,0.00247,0,0,0,0.71797,0,0,0,0.10912,0,0,5.06821,0,0,0,0.00261,0,0,0,0,0.00506,0,0.00248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05672,0,0,0,0,0,0,0.00489,0.01428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072,0,0,0,0.39206,0,0,0,0,0,0,0,0.00399,0,0,0,0.00206,0,0,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0
1,0.06246,0,0.00979,0,0,0,0.29092,0,0.01767,0,0.1,0,0,0.00642,0.00278,0,12.59686,0.54489,3.47002,0.08049,0.40109,1.53233,0.00372,0,0,0,12.32,0,0,0,0,0,0,0.01496,1.42354,0,0,0,0.00023,0.0003,0.00887,2.4005,0.00698,5.36171,0.08688,0.76074,0.41187,0.34639,1.40159,0.20906,0.05241,0,0.18324,7.37018,0.00852,2.45825,19.40367,0,0,0.07247,0.07587,0,0,0.03978,0,0,0,0,0.1782,0.04893,0,0,0.16165,0,0.11549,0,0,0,0.10033,0.01755,0,0,0,0,25.28443,0,0,0,0.00275,0,0,0.1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00644,0,0.01365,0,0,0,0,0,0,0.01705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32696,0,0,0,0.0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.00236,0,0,0,0,0,0,0,0.07062,0,0.30893,0,0,0,0.00139,0,32.83373,0,4.37798,0,4.26532,9.22497,0,0,0,0,5.96991,0,0,0.0047,0,0,0.02936,0.05697,2.76964,0,0,0,0,0.07749,0.02911,9.41927,0.25631,3.1433,0.12525,0.16595,0.95498,0.29443,6.44649,1.05955,0,0,0.34849,3.70814,0.09169,4.14952,8.55922,0,0,0.01034,0.10872,0,0,0.03387,0,0,0,0.0166,0.04144,0.00903,0,0,0.08335,0,0.07116,0,0.21761,0,0.36066,0.04856,0,0,0,0,0,0,0,0,0,0,0,0.05679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305,0,0,0.01856,0,0.12578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169,0,0,0.00489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01914,0,0,0,0,0.00852,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1.92085,0,0.08578,0,0.47015,0,0.01896,0.00475,0.00354,0,40.54185,0,0,1.03431,1.03798,13.76772,0,0,4.41123,0,6.4962,0,0,0,0,0,0,0.01793,1.311,0,0,0,0.01432,0.22524,0.01742,1.01696,0.1147,1.51865,0.02055,0.97203,0.09334,0.38556,0.5238,0.27729,0,0,0.11835,5.69115,0.00615,3.429,6.32254,0,0.00268,0.041,0.02855,0,0,0.02942,0,0,5.89462,0.02277,0.04737,0.02215,0,0,0.69056,0,0,0,0.07227,0,1.20025,0.02518,0,0,0,0,0.00564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01326,0,0.01669,0,0,0,0,0,0,0.01756,0,0,0,0,0,0,0.00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.11792,0,0,0,0,0.00062,0,0,0.00362,0,0.10217,0,0.00754,0,0.00523,0,45.23429,0.00215,4.7097,0,0.03845,6.56549,0,0,0,0,11.42212,0,0,0,0.00504,0,0,0.01343,0.01018,0,0,0,0,0,0.00608,7.68879,0.02868,1.24569,0.02911,2.22896,1.0331,2.05083,0.67126,0.15574,0.0176,0,0.22205,3.52996,0.00495,4.05097,8.04254,0,0,0.00085,0.04787,0,0,0.01424,0,0,0.5088,0,0.04494,0.02702,0,0,0,0,0,0,0.01118,0,0,0,0,0,0,0,0,0,0,0,0.01356,0,0,0.02184,0,0,0,0.00613,0,0,0,0,0,0,0,0,0.00476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02076,0,0,0,0,0,0,0,0,0,0.00048,0,0,0
1,0.52047,0,0,0,0,0,2.6219,0,0,0,0.88999,0,0,0,0.02921,0,17.10365,0.60974,0.70345,0.03902,0.33288,7.7536,0,0.00401,0,0,5.30375,0,0.1708,0,0,0,0,0.05946,1.91376,0,0,0,0,0.00224,0.03277,12.63412,0.11788,1.71314,2.86116,2.51209,0.49233,0.89019,1.70241,1.13916,0,0,0.33103,3.86936,0.04413,2.75284,14.21967,0,0,0.66722,0.05968,0,0,0.03796,0,0,0,0,0.10233,0.00327,0,0,0.00222,0.04213,0.00974,0,0.31833,0,0.03674,0.5007,0,0,0,0,10.33413,0,0,0,0,0.15232,0,3.25828,0,0,0,0.13182,0,0,0,0,0,0,0,0,0,0,0,0,0.0154,0,0,0,0,0.02687,0,0,0,0,0,0,0.0253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00914,0,0.00671,0,0,0,0,0,0.06375,0,0,0,0.07887,0,0,0,0.00124,0,0,0,0,0.74355,0.00205,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.01929,0,0.07456,0,0.48671,0,0,0.01348,0,0,14.8164,0,0,0.23025,0,0.08401,0,0,0,46.20785,2.18536,0,0,0,0,0,0,0.01121,0.08915,0,0,0,0,0.14733,0.08168,7.11885,0.00225,3.76505,0.08202,3.04571,1.31025,1.3324,1.79915,0.5789,0.06223,0,0.14456,6.36202,0.00608,2.87738,5.84757,0,0,0.01643,0.23254,0,0,0.03148,0,0,0,0,0.03179,0.0119,0,0,0,0,0,0,0.44843,0,0,0.12055,0,0,0,0,0,0,0,0,0,0,0,0.2558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
